종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"009830","한화솔루션","24800","50","0.20","24700","25150","24650","238950","5962050600","4262934892800","171892536"
"009835","한화솔루션우","21500","100","0.47","21600","21600","21350","353","7563900","55370003500","2575349"
"272210","한화시스템","19090","190","1.01","19020","19280","18990","655021","12536544090","3606471136010","188919389"
"012450","한화에어로스페이스","290000","0","0.00","0","0","0","0","0","14682700000000","50630000"
"082740","한화엔진","13480","-30","-0.22","13520","13700","13420","128875","1743854010","1124867474160","83447142"
"042660","한화오션","34150","-400","-1.16","34700","34750","33800","684672","23419680400","10464017405100","306413394"
"000885","한화우","40400","0","0.00","40400","40400","40400","1670","67468000","19363477600","479294"
"003530","한화투자증권","3410","40","1.19","3460","3510","3405","946226","3268479535","731607912750","214547775"
"003535","한화투자증권우","6370","210","3.41","6330","6430","6330","4343","27755410","30576000000","4800000"
"195870","해성디에스","29650","100","0.34","29550","30000","29200","22935","681930200","504050000000","17000000"
"101530","해태제과식품","5860","80","1.38","5790","5880","5760","9610","56104600","170624576920","29116822"
"143210","핸즈코퍼레이션","2205","-30","-1.34","2275","2275","2185","44339","98252830","48236022135","21875747"
"000720","현대건설","32150","0","0.00","32200","32350","32000","107402","3454218600","3580087844750","111355765"
"000725","현대건설우","47100","-200","-0.42","47150","47700","47000","643","30436550","49676040300","1054693"
"453340","현대그린푸드","12010","-50","-0.41","12060","12090","12000","11045","132686670","406909777140","33880914"
"086280","현대글로비스","110500","-2100","-1.87","113300","113300","109500","97064","10757202500","8287500000000","75000000"
"064350","현대로템","52500","300","0.57","52800","55500","52300","2348501","126412152100","5729970382500","109142293"
"079430","현대리바트","8410","50","0.60","8400","8490","8400","11157","94141100","172701721620","20535282"
"012330","현대모비스","213500","-500","-0.23","214500","215500","213000","38551","8235291500","19854452569000","92995094"
"069960","현대백화점","47850","600","1.27","47250","48100","47250","11172","533925950","1119806801850","23402441"
"004560","현대비앤지스틸","14330","20","0.14","14320","14490","14270","15573","224029380","216079361630","15078811"
"004310","현대약품","4620","20","0.43","4600","4655","4580","160090","737900935","147840000000","32000000"
"017800","현대엘리베이","42500","550","1.31","41950","42700","41900","14392","607888350","1661426362500","39092385"
"307950","현대오토에버","159500","-3600","-2.21","163300","163300","159000","45468","7293070300","4374125129000","27423982"
"011210","현대위아","50100","100","0.20","50500","50600","50100","17605","885548100","1362473658300","27195083"
"004020","현대제철","26250","550","2.14","25750","26500","25750","196479","5152038000","3502951856250","133445785"
"005440","현대지에프홀딩스","4720","145","3.17","4645","4770","4600","75808","356764740","735868300720","155904301"
"005380","현대차","238000","-8000","-3.25","244000","244500","237500","604661","145004328500","49841053458000","209416191"
"005387","현대차2우B","176900","-5600","-3.07","182500","182800","176600","79815","14215489400","6325836267900","35759391"
"005389","현대차3우B","173100","-4500","-2.53","177600","177600","172500","20976","3660627500","412047932400","2380404"
"005385","현대차우","174000","-5000","-2.79","179000","179000","173000","50852","8907197000","4153725912000","23871988"
"001500","현대차증권","8870","100","1.14","8780","8890","8750","15908","140840200","281290424940","31712562"
"011760","현대코퍼레이션","19310","-20","-0.10","19340","19450","19200","8329","160752620","255451333460","13228966"
"227840","현대코퍼레이션홀딩스","10640","-50","-0.47","10640","10690","10550","3640","38574090","96832895040","9100836"
"126560","현대퓨처넷","4185","-5","-0.12","4200","4255","4170","151644","640825100","461199324825","110202945"
"001450","현대해상","35850","650","1.85","35350","36250","35150","292942","10520943950","3204990000000","89400000"
"057050","현대홈쇼핑","48350","550","1.15","47500","48550","47500","9877","475241950","580200000000","12000000"
"093240","형지엘리트","1155","-5","-0.43","1155","1162","1102","45445","51874296","35983791690","31154798"
"003010","혜인","5070","20","0.40","5020","5070","5020","21591","109153620","64453627290","12712747"
"111110","호전실업","7400","100","1.37","7340","7420","7250","26669","196028800","72149881600","9749984"
"008770","호텔신라","47900","850","1.81","47200","48500","47000","124987","5996068100","1879984995900","39248121"
"008775","호텔신라우","39200","600","1.55","38700","39800","38600","5780","227047600","29473656800","751879"
"378850","화승알앤에이","4000","-50","-1.23","4090","4100","4000","40453","163963275","75974492000","18993623"
"241590","화승엔터프라이즈","8010","390","5.12","7580","8200","7580","405135","3244168800","485320100760","60589276"
"006060","화승인더","3940","20","0.51","3905","3980","3900","7573","29723200","217960800000","55320000"
"013520","화승코퍼레이션","1880","20","1.08","1860","1954","1845","34842","65439682","94096353760","50051252"
"010690","화신","9030","20","0.22","9080","9080","8950","56875","512128230","315331302300","34920410"
"133820","화인베스틸","907","-3","-0.33","913","913","902","34046","30845848","27959289026","30826118"
"010660","화천기계","2930","65","2.27","2865","2970","2855","70452","205901830","64460000000","22000000"
"000850","화천기공","28700","-100","-0.35","28800","28850","28300","311","8875000","63140000000","2200000"
"016580","환인제약","13630","-30","-0.22","13630","13710","13590","5800","79121310","253518954100","18600070"
"032560","황금에스티","5490","-50","-0.90","5550","5570","5440","20198","110632420","93330000000","17000000"
"004800","효성","49500","650","1.33","48700","49800","48700","5731","283402250","828650146500","16740407"
"094280","효성ITX","12810","10","0.08","12810","12830","12700","1317","16860220","148060542000","11558200"
"298040","효성중공업","288500","4500","1.58","285500","291500","284000","23338","6723211500","2690132098000","9324548"
"298050","효성첨단소재","283500","4000","1.43","279500","285500","279500","5158","1460856500","1270065258000","4479948"
"298020","효성티앤씨","298000","5500","1.88","292000","301000","292000","8679","2588512000","1289649236000","4327682"
"298000","효성화학","46900","1250","2.74","45700","47400","45700","3564","167440800","177835935900","3791811"
"093370","후성","7040","0","0.00","7130","7130","6920","227618","1598608930","755077523200","107255330"
"081660","휠라홀딩스","42200","300","0.72","41850","43000","41650","31776","1344186350","2536044405800","60095839"
"005870","휴니드","7380","80","1.10","7320","7400","7310","107142","787739870","104176190700","14116015"
"079980","휴비스","3070","-20","-0.65","3100","3125","3060","22103","68339265","105915000000","34500000"
"005010","휴스틸","4185","-25","-0.59","4195","4240","4185","201892","849320410","235147093875","56188075"
"000540","흥국화재","3980","155","4.05","3810","4005","3775","38222","149926555","255685727100","64242645"
"000545","흥국화재우","5870","70","1.21","5880","5880","5870","99","581950","4508160000","768000"
"003280","흥아해운","2120","25","1.19","2095","2130","2095","761908","1610794775","509700785880","240424899"
